nom,nb_hab_2010,nb_hab_2012,diff2012_2010
Cérilly,1351,1400,49
Sorbier,292,300,8
Cesset,378,400,22
Saint-Caprais,92,100,8
Varennes-sur-Allier,3600,3800,200
Franchesse,446,500,54
Dompierre-sur-Besbre,3152,3200,48
Saint-Genest,342,400,58
Tortezais,177,200,23
Louroux-de-Bouble,280,300,20
Marcenat,375,400,25
Turriers,379,400,21
Blieux,55,100,45
Saint-Jeannet,52,100,48
Curel,47,100,53
Montfort,377,400,23
La Rochette,58,100,42
Vaumeilh,268,300,32
Colmars,388,400,12
Châteauneuf-Miravail,77,100,23
Vachères,293,300,7
Saint-Julien-d'Asse,165,200,35
Mirabeau,494,500,6
Dauphin,796,800,4
Puimichel,242,300,58
Faucon-du-Caire,57,100,43
Saint-Geniez,87,100,13
Le Castellet,278,300,22
Revest-du-Bion,578,600,22
Clumanc,182,200,18
Thuiles,368,400,32
Val-de-Chalvagne,69,100,31
Entrepierres,390,400,10
Meyronnes,72,100,28
Saint-Laurent-du-Verdon,92,100,8
Montfuron,196,200,4
Larche,74,100,26
Sigoyer,92,100,8
Le Castellard-Mélan,50,100,50
Aubignosc,553,600,47
Clamensane,172,200,28
Château-Arnoux-Saint-Auban,5266,5300,34
Saint-Jacques,56,100,44
L'Hospitalet,89,100,11
Villemus,166,200,34
Mallemoisson,993,1000,7
Oppedette,61,100,39
Barrême,474,500,26
Mane,1373,1400,27
Simiane-la-Rotonde,584,600,16
Montclar,461,500,39
La Garde,90,100,10
Montjustin,48,100,52
Redortiers,75,100,25
Allos,691,700,9
Moriez,194,200,6
Verdaches,57,100,43
Malijai,1960,2000,40
Lurs,375,400,25
Auzet,79,100,21
Angles,71,100,29
Revest-Saint-Martin,82,100,18
Castellane,1537,1600,63
Barles,156,200,44
Gigors,61,100,39
Pontis,81,100,19
Prads-Haute-Bléone,179,200,21
Corbières,987,1000,13
Le Brusquet,968,1000,32
Le Caire,66,100,34
La Javie,392,400,8
Lambruisse,90,100,10
Saint-Jurs,155,200,45
Banon,1070,1100,30
Manosque,22105,22300,195
Beaujeu,150,200,50
Senez,170,200,30
Châteauredon,93,100,7
Brunet,256,300,44
Draix,80,100,20
Champtercier,794,800,6
Entrevennes,168,200,32
Digne-les-Bains,16922,17300,378
Bayons,255,300,45
Sainte-Croix-à-Lauze,79,100,21
Barras,158,200,42
Sourribes,173,200,27
Salérans,85,100,15
Veynes,3186,3200,14
Rabou,79,100,21
Cervières,174,200,26
Puy-Saint-André,468,500,32
Saint-Étienne-en-Dévoluy,558,600,42
Saint-Chaffrey,1668,1700,32
Saint-Firmin,477,500,23
Espinasses,675,700,25
Méreuil,89,100,11
Chabottes,757,800,43
Montmorin,90,100,10
Ristolas,90,100,10
Arvieux,375,400,25
Prunières,289,300,11
Bénévent-et-Charbillac,270,300,30
Saint-Véran,257,300,43
Lagrand,268,300,32
Embrun,6110,6300,190
Champcella,174,200,26
Forest-Saint-Julien,283,300,17
Vigneaux,480,500,20
Oze,94,100,6
Montrond,54,100,46
Avançon,391,400,9
Savines-le-Lac,1088,1100,12
Lettret,184,200,16
Le Monêtier-les-Bains,1035,1100,65
Saint-Jacques-en-Valgodemard,150,200,50
Sigottier,79,100,21
Bruis,66,100,34
Saint-André-de-Rosans,146,200,54
Rambaud,367,400,33
Puy-Saint-Vincent,299,300,1
Agnières-en-Dévoluy,270,300,30
La Grave,488,500,12
Antonaves,179,200,21
Montbrand,61,100,39
La Beaume,164,200,36
Le Saix,98,100,2
Le Glaizil,180,200,20
Saint-Martin-de-Queyrières,1086,1100,14
La Cluse,53,100,47
Saint-Clément-sur-Durance,294,300,6
Sainte-Colombe,59,100,41
Sigoyer,640,700,60
Serres,1283,1300,17
Moydans,56,100,44
Fouillouse,198,200,2
Le Bersac,152,200,48
Montclus,55,100,45
Chauffayer,391,400,9
Saint-Auban-d'Oze,71,100,29
Freissinières,198,200,2
Saint-Genis,52,100,48
La Piarre,97,100,3
L'Épine,182,200,18
Lardier-et-Valença,293,300,7
Saléon,92,100,8
Saint-Pierre-d'Argençon,158,200,42
Abriès,365,400,35
Rousset,163,200,37
Villar-Saint-Pancrace,1457,1500,43
La Bâtie-Vieille,278,300,22
Le Noyer,267,300,33
Ribiers,794,800,6
Buissard,182,200,18
Villar-d'Arêne,287,300,13
Gattières,4052,4100,48
Grasse,51036,51600,564
Mujouls,44,100,56
Saint-Léger,67,100,33
Ferres,97,100,3
Tourrettes-sur-Loup,4007,4200,193
Beausoleil,13515,14100,585
Duranus,181,200,19
Auvare,49,100,51
Villefranche-sur-Mer,5419,6200,781
La Bollène-Vésubie,560,600,40
Valbonne,12275,12500,225
Saint-Martin-d'Entraunes,83,100,17
Sauze,98,100,2
Vallauris,28252,29100,848
Saint-Paul-de-Vence,3486,3500,14
Fontan,255,300,45
Drap,4385,4600,215
Roquestéron-Grasse,79,100,21
La Turbie,3180,3200,20
Valderoure,397,400,3
Pierrefeu,254,300,46
Mouans-Sartoux,10198,10300,102
Andon,579,600,21
Belvédère,656,700,44
Beuil,495,500,5
Antibes,74120,77000,2880
Èze,2686,3000,314
Saint-Jeannet,3682,3700,18
Le Bar-sur-Loup,2795,2800,5
Châteauneuf-d'Entraunes,63,100,37
Mougins,18917,19700,783
Sallagriffon,50,100,50
Coursegoules,473,500,27
Peille,2291,2300,9
Gilette,1494,1500,6
La Trinité,10332,10600,268
Clans,562,600,38
Cabris,1410,1500,90
Cagnes-sur-Mer,47141,48900,1759
La Croix-sur-Roudoule,87,100,13
Bonson,665,700,35
Gars,60,100,40
Théoule-sur-Mer,1551,1600,49
Saint-Laurent-du-Var,29963,30300,337
Gorbio,1284,1300,16
La Roquette-sur-Siagne,4962,5000,38
Nice,343304,344900,1596
Séranon,477,500,23
Ilonse,167,200,33
Castellar,974,1000,26
Lucéram,1237,1300,63
Aiglun,94,100,6
Saint-Jean-Cap-Ferrat,2030,2100,70
Conségudes,82,100,18
Guillaumes,689,700,11
Bouyon,482,500,18
Toudon,286,300,14
Villeneuve-d'Entraunes,85,100,15
Roquebrune-Cap-Martin,12532,13500,968
Pierlas,97,100,3
Cuébris,150,200,50
Cipières,373,400,27
Sainte-Agnès,1197,1200,3
Berre-les-Alpes,1279,1300,21
Marie,84,100,16
Gourdon,426,500,74
Saint-Jeure-d'Andaure,97,100,3
Saint-André-de-Cruzières,485,500,15
Saint-Péray,7294,7300,6
Sainte-Marguerite-Lafigère,79,100,21
Dompnac,81,100,19
Veyras,1539,1600,61
Saint-Pierre-Saint-Jean,146,200,54
Saint-Alban-en-Montagne,78,100,22
Plats,793,800,7
Saint-Julien-le-Roux,92,100,8
Boucieu-le-Roi,282,300,18
Banne,687,700,13
Saint-Genest-Lachamp,99,100,1
Darbres,244,300,56
Saint-Apollinaire-de-Rias,164,200,36
Péreyres,51,100,49
Châteauneuf-de-Vernoux,187,200,13
Borée,167,200,33
Saint-Andéol-de-Fourchades,54,100,46
Genestelle,279,300,21
Beauchastel,1666,1700,34
Saint-Martin-de-Valamas,1264,1300,36
Vanosc,886,900,14
Colombier-le-Cardinal,278,300,22
Bidon,192,200,8
Saint-Étienne-de-Fontbellon,2480,2500,20
Mauves,1174,1200,26
Valgorge,472,500,28
Vallon-Pont-d'Arc,2328,2400,72
Lyas,558,600,42
Chanéac,267,300,33
Saint-Paul-le-Jeune,871,900,29
Mayres,267,300,33
Limony,762,800,38
Rochessauve,397,400,3
Lalouvesc,460,500,40
Lamastre,2480,2500,20
Arcens,398,400,2
Champis,586,600,14
Saint-Prix,253,300,47
Faugères,97,100,3
Vernoux-en-Vivarais,1886,1900,14
Laval-d'Aurelle,56,100,44
Tauriers,174,200,26
Saint-Pierre-la-Roche,52,100,48
Saint-Maurice-en-Chalencon,197,200,3
Ribes,272,300,28
Saint-Bauzile,270,300,30
Vals-les-Bains,3649,3700,51
Cros-de-Géorand,175,200,25
Viviers,3861,3900,39
Issarlès,166,200,34
Le Plagnal,61,100,39
Dornas,286,300,14
Saint-Étienne-de-Valoux,298,300,2
Sanilhac,396,400,4
